City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Khlung,TH,84.52,overcast clouds,12.4547,102.2214,Bai Phai Resort
186,Okha,RU,70.92,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
189,Santa Cruz,BO,76.46,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
190,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
196,Erenhot,CN,84.94,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
199,Sarkand,KZ,79.81,clear sky,45.41,79.9186,Гостиница Сарканд
201,Les Cayes,HT,78.8,overcast clouds,18.2,-73.75,Villa Orphee
204,Minab,IR,88.12,clear sky,27.1467,57.0801,Bam campground
205,Kavaratti,IN,81.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
206,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
207,Katsuura,JP,80.71,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
211,Biltine,TD,85.55,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
213,Khairabad,IN,92.41,clear sky,27.5333,80.75,CHANDRA MARRIAGE LAWN & BANQUET HALL
214,La Brea,HN,76.5,overcast clouds,15.8,-85.9667,Hotel reynita
216,Imeni Poliny Osipenko,RU,80.01,overcast clouds,52.4201,136.4853,Yubileynaya
217,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
218,Willmar,US,82.42,clear sky,45.1219,-95.0433,Lakeview Inn
219,Barabinsk,RU,72.79,few clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
220,Hirara,JP,89.46,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
222,Salinas,US,81.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
224,Awjilah,LY,76.08,clear sky,29.1081,21.2869,المنزل
225,Bengkulu,ID,79.41,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
228,Ayios Nikolaos,GR,75.78,clear sky,38.4167,23.65,Lefkadi
229,Muisne,EC,73.94,overcast clouds,0.6,-80.0333,Quinta Samay
231,Amalapuram,IN,78.06,overcast clouds,16.5833,82.0167,swayamprabha service apartments
232,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
236,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
237,Yueyang,CN,91.81,broken clouds,29.3333,113.0919,Delong Fortune Hotel
