City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,94,75,5.75,broken clouds
79,Zhengjiatun,CN,43.5064,123.5064,79.32,64,2,10.02,clear sky
80,Ostrovnoy,RU,68.0531,39.5131,57.38,73,100,11.59,overcast clouds
81,Wuzhou,CN,23.4833,111.3167,87.58,68,8,6.13,clear sky
82,Cape Town,ZA,-33.9258,18.4232,54.37,90,40,5.99,scattered clouds
83,Chokurdakh,RU,70.6333,147.9167,72.81,35,79,9.01,broken clouds
84,Bobrov,RU,51.0961,40.0333,70.36,50,100,12.77,overcast clouds
85,Parana,AR,-31.732,-60.5238,61.56,75,100,13.24,overcast clouds
86,Avera,US,33.194,-82.5271,76.37,90,95,9.95,overcast clouds
87,Constitucion,CL,-35.3333,-72.4167,47.26,85,25,2.93,scattered clouds
88,Gizo,SB,-8.103,156.8419,83.21,69,86,7.11,overcast clouds
89,Geraldton,AU,-28.7667,114.6,59.41,72,0,6.91,clear sky
90,Yarim,YE,14.298,44.3779,59.18,51,100,3.96,overcast clouds
91,Ambon,ID,-3.6954,128.1814,79.23,14,75,8.05,moderate rain
92,Khatanga,RU,71.9667,102.5,45.75,57,100,12.41,overcast clouds
93,Maniitsoq,GL,65.4167,-52.9,41.0,87,96,12.03,overcast clouds
94,Georgetown,MY,5.4112,100.3354,84.15,80,40,5.75,thunderstorm
95,Ascension,US,30.2169,-90.9001,81.07,89,0,6.91,clear sky
96,Kachug,RU,53.9606,105.8817,71.91,44,47,2.66,scattered clouds
97,Port Blair,IN,11.6667,92.75,82.44,78,100,6.91,overcast clouds
98,Ancud,CL,-41.8697,-73.8203,45.23,92,70,7.87,light rain
99,Avarua,CK,-21.2078,-159.775,77.05,53,100,6.91,overcast clouds
100,Stokmarknes,NO,68.5646,14.9108,49.98,93,75,0.0,broken clouds
101,Nikolskoye,RU,59.7035,30.7861,59.81,98,100,0.6,overcast clouds
102,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,88,0,17.27,clear sky
103,Luganville,VU,-15.5333,167.1667,84.79,67,23,8.99,few clouds
104,Hobart,AU,-42.8794,147.3294,55.26,66,75,18.41,broken clouds
105,Puerto Narino,CO,-3.7703,-70.3831,71.1,99,97,1.14,overcast clouds
106,Thompson,CA,55.7435,-97.8558,66.36,77,75,13.8,broken clouds
107,Hinton,CA,53.4001,-117.5857,64.51,53,100,3.47,overcast clouds
108,Chuy,UY,-33.6971,-53.4616,62.37,94,75,7.92,broken clouds
109,Dandong,CN,40.1292,124.3947,79.2,77,18,4.94,few clouds
110,Upernavik,GL,72.7868,-56.1549,38.48,86,32,2.71,scattered clouds
111,Krasnoborsk,RU,61.5598,45.934,65.28,92,61,4.12,broken clouds
112,Tasiilaq,GL,65.6145,-37.6368,46.56,78,69,1.41,broken clouds
113,Sitka,US,57.0531,-135.33,57.09,72,100,14.97,overcast clouds
114,Along,IN,28.1667,94.7667,81.84,83,98,0.72,overcast clouds
115,Sorland,NO,67.667,12.6934,51.66,90,94,12.28,overcast clouds
116,Provideniya,RU,64.3833,-173.3,59.36,72,0,7.0,clear sky
